timestamp,modo,n,umbral,powDiff,primosMax,chosen,trace,total_ms,a_ok,a_ms,b_ok,b_ms
2025-10-29T02:31:06Z,spec,300,1000,5,500000,A,1823403,2258.128,true,2258.128,false,3.852
2025-10-29T02:31:09Z,spec,300,1000,5,500000,A,1825745,2249.876,true,2249.876,false,2.967
2025-10-29T02:31:11Z,spec,300,1000,5,500000,A,1833394,2258.516,true,2258.516,false,3.000
2025-10-29T02:31:13Z,spec,300,1000,5,500000,A,1827363,2332.189,true,2332.189,false,2.002
2025-10-29T02:31:16Z,spec,300,1000,5,500000,A,1821961,2377.948,true,2377.948,false,3.000
2025-10-29T02:31:18Z,spec,300,1000,5,500000,A,1826513,2404.881,true,2404.881,false,2.999
2025-10-29T02:31:20Z,spec,300,1000,5,500000,A,1817710,2374.099,true,2374.099,false,6.041
2025-10-29T02:31:23Z,spec,300,1000,5,500000,A,1814556,2356.933,true,2356.933,false,2.995
2025-10-29T02:31:25Z,spec,300,1000,5,500000,A,1816823,2376.585,true,2376.585,false,3.448
2025-10-29T02:31:27Z,spec,300,1000,5,500000,A,1816821,2344.947,true,2343.443,false,1.039
2025-10-29T02:31:30Z,spec,300,1000,5,500000,A,1824444,2405.426,true,2405.426,false,3.035
2025-10-29T02:31:32Z,spec,300,1000,5,500000,A,1829119,2403.263,true,2403.263,false,2.002
2025-10-29T02:31:35Z,spec,300,1000,5,500000,A,1821609,2421.504,true,2421.504,false,2.998
2025-10-29T02:31:37Z,spec,300,1000,5,500000,A,1824506,2639.257,true,2639.257,false,4.508
2025-10-29T02:31:40Z,spec,300,1000,5,500000,A,1834094,2435.278,true,2435.278,false,4.589
2025-10-29T02:31:42Z,spec,300,1000,5,500000,A,1825193,2428.717,true,2428.717,false,2.999
2025-10-29T02:31:45Z,spec,300,1000,5,500000,A,1807749,2505.722,true,2505.722,false,3.967
2025-10-29T02:31:47Z,spec,300,1000,5,500000,A,1828000,2448.030,true,2448.030,false,5.577
2025-10-29T02:31:50Z,spec,300,1000,5,500000,A,1824479,2461.938,true,2461.938,false,2.999
2025-10-29T02:31:52Z,spec,300,1000,5,500000,A,1819753,2520.622,true,2520.622,false,5.581
2025-10-29T02:31:55Z,spec,300,1000,5,500000,A,1820266,2478.770,true,2478.770,false,3.507
2025-10-29T02:31:57Z,spec,300,1000,5,500000,A,1829190,2496.490,true,2496.490,false,3.531
2025-10-29T02:31:59Z,spec,300,1000,5,500000,A,1827165,2374.385,true,2374.385,false,4.584
2025-10-29T02:32:02Z,spec,300,1000,5,500000,A,1823220,2416.287,true,2416.287,false,4.538
2025-10-29T02:32:04Z,spec,300,1000,5,500000,A,1829663,2440.696,true,2440.696,false,4.503
2025-10-29T02:32:07Z,spec,300,1000,5,500000,A,1826586,2368.478,true,2368.478,false,5.540
2025-10-29T02:32:09Z,spec,300,1000,5,500000,A,1820646,2393.618,true,2393.618,false,5.011
2025-10-29T02:32:11Z,spec,300,1000,5,500000,A,1829179,2364.417,true,2364.417,false,4.296
2025-10-29T02:32:14Z,spec,300,1000,5,500000,A,1826174,2384.543,true,2384.543,false,2.996
2025-10-29T02:32:16Z,spec,300,1000,5,500000,A,1823874,2399.094,true,2399.094,false,3.544
2025-10-29T02:32:19Z,seq,300,1000,5,500000,A,1830177,2431.722,,,,
2025-10-29T02:32:21Z,seq,300,1000,5,500000,A,1821864,2391.752,,,,
2025-10-29T02:32:23Z,seq,300,1000,5,500000,A,1818600,2336.404,,,,
2025-10-29T02:32:26Z,seq,300,1000,5,500000,A,1823555,2346.194,,,,
2025-10-29T02:32:28Z,seq,300,1000,5,500000,A,1819904,2353.271,,,,
2025-10-29T02:32:30Z,seq,300,1000,5,500000,A,1810213,2330.154,,,,
2025-10-29T02:32:33Z,seq,300,1000,5,500000,A,1815005,2343.894,,,,
2025-10-29T02:32:35Z,seq,300,1000,5,500000,A,1828762,2396.399,,,,
2025-10-29T02:32:37Z,seq,300,1000,5,500000,A,1822168,2318.035,,,,
2025-10-29T02:32:40Z,seq,300,1000,5,500000,A,1819619,2346.087,,,,
2025-10-29T02:32:42Z,seq,300,1000,5,500000,A,1819531,2363.076,,,,
2025-10-29T02:32:45Z,seq,300,1000,5,500000,A,1826790,2431.188,,,,
2025-10-29T02:32:47Z,seq,300,1000,5,500000,A,1821988,2338.175,,,,
2025-10-29T02:32:49Z,seq,300,1000,5,500000,A,1818138,2265.523,,,,
2025-10-29T02:32:51Z,seq,300,1000,5,500000,A,1820286,2263.621,,,,
2025-10-29T02:32:54Z,seq,300,1000,5,500000,A,1824485,2260.156,,,,
2025-10-29T02:32:56Z,seq,300,1000,5,500000,A,1814252,2317.066,,,,
2025-10-29T02:32:58Z,seq,300,1000,5,500000,A,1815387,2391.936,,,,
2025-10-29T02:33:01Z,seq,300,1000,5,500000,A,1812528,2444.449,,,,
2025-10-29T02:33:03Z,seq,300,1000,5,500000,A,1818454,2371.576,,,,
2025-10-29T02:33:06Z,seq,300,1000,5,500000,A,1820740,2413.332,,,,
2025-10-29T02:33:08Z,seq,300,1000,5,500000,A,1820697,2436.865,,,,
2025-10-29T02:33:11Z,seq,300,1000,5,500000,A,1815603,2468.580,,,,
2025-10-29T02:33:13Z,seq,300,1000,5,500000,A,1820344,2460.993,,,,
2025-10-29T02:33:16Z,seq,300,1000,5,500000,A,1824933,2484.333,,,,
2025-10-29T02:33:18Z,seq,300,1000,5,500000,A,1822343,2425.689,,,,
2025-10-29T02:33:20Z,seq,300,1000,5,500000,A,1825860,2384.235,,,,
2025-10-29T02:33:23Z,seq,300,1000,5,500000,A,1825595,2427.121,,,,
2025-10-29T02:33:25Z,seq,300,1000,5,500000,A,1820217,2460.929,,,,
2025-10-29T02:33:28Z,seq,300,1000,5,500000,A,1817818,2394.776,,,,
